description,category,spec_pred
POS DIEBOLD NIXDORF VynaPOS,Atms,
ค่าบริการเหมาตัดหญ้า,Snow Removal Services,
"Paper 946 Fresh Milk Beverage (VN),PAPER 946 FRESH MILK BEVERAGE (VN)",Other Beverages,
ระบบรีดนมโค DeLavaVoluntaryMilkingSystem,Milking Machines,
"PAPER 236 Fresh Milk Beverage/H (HK),PAPER 236 FRESH MILK BEVERAGE/H (HK)",Other Beverages,
(PL)(FMST328) Rep. Additional Plugin Cabinet for FM Y2025 (103 Store) : S#15003 POOL SUPERMARKET \REP_GF,Vehicle Maintenance And Repair Services,item -
"SC_UNIVERSAL TES+ BOARD V3 911S010017-1,SC2-UNIVERSAL TES+ BOARD V3 911S010017-1",Sensor Development Tools,
"WPC 80 (Heat Stable),WPC 80 (HEAT STABLE)",Tpu,
ระบบMicrobial Fermentation Sterilization,Lab Testing Consulting,
Automation Peeling Shrimp System,Fish Processing Machines,
"SB_9-32705014195 0 BELLOWS,32705014195 0 BELLOWS:",Guard Shield,
"Homogenizer Model: 250 for Past12,13, 	HOMOGENIZER MODEL: 250 FOR PAST12,13",Homogenizer,
"Homogenizer(GEA ARIERE 3110H),HOMOGENIZER(GEA ARIERE 3110H)",Homogenizer,
(TW) CS_CM/PM Consultant for New Store Hypermarket Maerim,Other Consulting,item -
POS DIEBOLD NIXDORF VynaPOS ;3035;0001;1,Atms,
10053 GN 1/1 ECO  46L - BLACK COLOR Outer : 600*400*320 mm.,Other Tableware,
ชั้นปิดหัว-ท้าย G5(I) 90X45X187cm.,Shelving Units,application -|brand -|item -|material -|model -|numberofshelf -|size -
(MP) ABSS_DC HARDWARE MA of Period 1 Jan 2025 - 31 Dec 2025 (QT.No.ABSS FM-ABSS-JS25-026 Rev.00),Information Technology Maintenance Or Repair Service,item 
(YS)(FMDC421) Rep. MHE for DC Yr.2025 : DC#5022 Wang noi Slow Movement,Vehicle Maintenance And Repair Services,item -
Casing Sausage Machine,Meat Product Making Machines,
VEMAG Cutting Machine ModelTM233,Cut Off Machine,
"(YS)   CS_""Main Building""_New Store HP_Sriracha  >  Main building construction work  > EXTERNAL WORKS_MISCELLANEOUS",Construction Services,item -
(TW) FM Consultant Service Y2025 : PPA Solar and Roof fix for All Format,Other Consulting,item -
Implement Project Autonomous Operation for Document Verification,Project Administration Or Planning,
งานจ้างเหมาซ่อมแซม,Building Maintenance And Repair Services,item -
งานติดตั้ง EV CHARGING STATION,Floor-mounted Charging Stations,
"Frigex HV,เฮชวี ฟริจิก",Other Chemicals,"brand -|item frigagetv,เฮชวี|model -|piece -|volume -"
MA SW ArcGIS,Mv&hv Voltage Contactors,
"(PL)   CS_Opex78902 _Lotus's Yala HP  >  Tenant Decorate & Furniture ""MK Restaurant""",Other Furniture,brand -|item -|model -
Foldable IBC HOREN OF1040-2,Flexitanks,
(YS)_(CS) SUPERSTRUCTURE_MAIN BUILDING WORK_Project HY Mall Improve-5047 Ratchaburi (Universal)_BOQ.076/2024,Construction Services,item -
จอ LED Full Color ICE LED P2.5 Outdoor,Other Monitors,
Automatic Bag Feeding MachineGP-M3000UST,Auxiliary Packaging Machines,
(YS)   CS_Lotus's Ban Bueng-Mall Extension  >  Landscape work,Construction Services,item -
(YS)Counterbalance Electric จำนวน 2 Units,Lab Balances,
(TS) ค่าฉีดวัคซีนไข้หวัดใหญ่ ประจำปี 2568 (Store),Temporary Medical Staffing Needs,item -
สัญญาบริการรักษาความปลอดภัย CFDC ST,Security Guard Services,brand -|careerlevel -|gender -|item -|period -|shift -|workingday -|workinghour -
งานติดตั้งระบบผลิตน้ำ Recycle 400 ลบ.ม.,Water Prefilters,
ค่าบริการรับฝากสินค้า,Other Logistics Services,item -
"จ่ายเงินค่าเช่าล่วงหน้า (Premium) ชำระในวันลงนามสัญญาเช่าที่ดินSite : ST0575-MSA (CE) Paklok-Ya Mhu, Phuket (ป่าคลอก-ย่ามู, ภูเก็ต) : สั่งจ่าย นาย โยธา นึกความหลัง",Land Leases,item -|location -|period 1m
(TS)ค่าจ้างบริการและจัดหาทรัพยากรบุคคล Aug.2025 (2540001513),Human Resources Consulting Service,item -
SWITCH ARUBA 6100 24G CL4 4SFP+ SWITCH (P/N:JL677A),Fiber Rental Services,
(PT)[FMST361] Imp. Floor Sea Food 2025-SLH INTERNAL FITTINGS : H#10007 Pooled Minisuper \BDL_HY,Construction Services,item -
งานดูแลภูมิทัศน์ เขาชีจรรย์ ปีที่1,Landscaping Services,item -
"(TW)   CS_""Main Building""_Lotus's New Store HP_Phetchaburi  >  Architecture Design Fee (ref.QT.date : 21-มี.ค. 68)",Construction Services,item -
ตู้ 1CDBC,Counters,
ตู้ 36BSC 81-100 cm.,Counters,
(SS) Installment 2nd - Fidelity Guarantee Insurance (Period: 1/10/2024 - 30/09/2025),Fixed Annuity Policy,
(SS) Installment 3rd - Fidelity Guarantee Insurance (Period: 1/10/2024 - 30/09/2025),Fixed Annuity Policy,
(MP) Zebra - Vehicle-Mounted Computer VC8300,Car Pc,
"FR_VW64 Lower Stem Body (V61513),FR_VW64 LOWER STEM BODY (V61513)",Suspension Strut Bearings,
"Sulfrulic acid 50%,กรดกำมะถัน 50%",Organic Acid,
รถขุด SDLG E6135F with x 1 Piping,Other Earth-moving Machinery,
งานร้อยสายเมนเครื่องจักร,Construction Services,item -
Packaging Design,Packaging Design,
Mini Bin Loss in Weight Scale,Kitchen Scales,
ห้องน้ำพนักงาน 1 UNIT,Portable Toilet Rental Service,
สิทธิ์การใช้โปรแกรมซอฟต์แวร์,Credit Unions,
CAS_Outsouce service fee for Accountant Dec'2025,Payroll Accounting Services,item 
(TW) CS_CM/PM Management Fee for Oasis Community mall Lotus's Saraphi,Other Consulting,item -
"MA Firewall at TDPK. Period service: 6 March 2025 - 5 March 2026 (12 months)
",Information Technology Maintenance Or Repair Service,item -
(MP) Geocoding 2025,"Programmers, Emulators, And Debuggers",
Bulk Bag Filling System 12-15 bags/hour,Chemical Transportation Equipment,
Till Reconciliation (SEC 001/1) ( 1 Pack : 10 เล่ม ),Other Packaging & Printing Products,
"QSO-130500 _XENON LAMP,QSO-130500 _XENON LAMP",Xenon Lamps,
ก่อสร้าง 23134 ราษฎร์บูรณะ 13(2),Shops,item -
Roll Cage W800*D1050*H1840 mm.,Storage Cages,
"(YS)   CS_""Main Building""_Lotus's New Store HP_Chaingrai   >  Main Building Construction work _EXTERNAL WORKS_MISCELLANEOUS ",Construction Services,item -
