description,category,spec_pred
Casing Sausage Machine,Meat Product Making Machines,
VEMAG Cutting Machine ModelTM233,Cut Off Machine,
"(YS)   CS_""Main Building""_New Store HP_Sriracha  >  Main building construction work  > EXTERNAL WORKS_MISCELLANEOUS",Construction Services,item -
(TW) FM Consultant Service Y2025 : PPA Solar and Roof fix for All Format,Other Consulting,item -
Implement Project Autonomous Operation for Document Verification,Project Administration Or Planning,
งานจ้างเหมาซ่อมแซม,Building Maintenance And Repair Services,item -
งานติดตั้ง EV CHARGING STATION,Floor-mounted Charging Stations,
"Frigex HV,เฮชวี ฟริจิก",Other Chemicals,"brand -|item frigagetv,เฮชวี|model -|piece -|volume -"
MA SW ArcGIS,Mv&hv Voltage Contactors,
"(PL)   CS_Opex78902 _Lotus's Yala HP  >  Tenant Decorate & Furniture ""MK Restaurant""",Other Furniture,brand -|item -|model -
Foldable IBC HOREN OF1040-2,Flexitanks,
