description,category,spec_pred,item_pred,item_extracted,spec_pred_fixed,category_fixed,spec_changed,category_changed
จอ LED Full Color ICE LED P2.5 Outdoor,Other Monitors,,จอ LED,จอled,item จอled|displaytechnology led|model iceledp2.5outdoor|numberofcolor fullcolor|size -|temperaturerange -|weight -,Digital Signage And Displays,True,True
Automatic Bag Feeding MachineGP-M3000UST,Auxiliary Packaging Machines,,Automatic Bag Feeding Machine,automaticbagfeedingmachine,item automaticbagfeedingmachine|brand -|model gp-m3000ust|capacity -|application -|material -|size -|type -,Packaging Forming Machines,True,True
(YS)   CS_Lotus's Ban Bueng-Mall Extension  >  Landscape work,Construction Services,item -,งาน landscape,landscape,item landscape|brand -|model -,Construction Services,True,False
(YS)Counterbalance Electric จำนวน 2 Units,Lab Balances,,Counterbalance Electric,รถยกไฟฟ้า,item รถยกไฟฟ้า|enginetype ไฟฟ้า|model -|weightlimit -|tiretype -|liftingheight -|masttype -|forksize -|enginesize -|color -|brand -|fullfree -|manufacturedate -|driverincluded -|period -|capacity -|volume -|size -|power -|voltage -|compatibility -|piece 2,Forklifts,True,True
(TS) ค่าฉีดวัคซีนไข้หวัดใหญ่ ประจำปี 2568 (Store),Temporary Medical Staffing Needs,item -,ค่าฉีดวัคซีนไข้หวัดใหญ่,ค่าฉีดวัคซีนไข้หวัดใหญ่,item ค่าฉีดวัคซีนไข้หวัดใหญ่|brand -|model -|piece -|volume -,Other Healthcare Supply,True,True
สัญญาบริการรักษาความปลอดภัย CFDC ST,Security Guard Services,brand -|careerlevel -|gender -|item -|period -|shift -|workingday -|workinghour -,บริการรักษาความปลอดภัย,ค่าบริการรักษาความปลอดภัย,brand -|careerlevel -|gender -|item ค่าบริการรักษาความปลอดภัย|period -|shift -|workingday -|workinghour -,Security Guard Services,True,False
งานติดตั้งระบบผลิตน้ำ Recycle 400 ลบ.ม.,Water Prefilters,,งานติดตั้งระบบผลิตน้ำ Recycle,งานติดตั้งระบบผลิตน้ำrecycle,item งานติดตั้งระบบผลิตน้ำrecycle|volume 400ลบ.ม.,Water Treatment Machinery,True,True
ค่าบริการรับฝากสินค้า,Other Logistics Services,item -,บริการรับฝากสินค้า,บริการรับฝากสินค้า,item บริการรับฝากสินค้า|category -,Other Logistics Services,True,False
"จ่ายเงินค่าเช่าล่วงหน้า (Premium) ชำระในวันลงนามสัญญาเช่าที่ดินSite : ST0575-MSA (CE) Paklok-Ya Mhu, Phuket (ป่าคลอก-ย่ามู, ภูเก็ต) : สั่งจ่าย นาย โยธา นึกความหลัง",Land Leases,item -|location -|period 1m,ค่าเช่าที่ดิน,ค่าเช่าที่ดิน,"item ค่าเช่าที่ดิน|location st0575-msa(ce)paklok-yamhu,phuket(ป่าคลอก-ย่ามู,ภูเก็ต)|period -",Land Leases,True,False
(TS)ค่าจ้างบริการและจัดหาทรัพยากรบุคคล Aug.2025 (2540001513),Human Resources Consulting Service,item -,บริการจัดหาทรัพยากรบุคคล,ค่าที่ปรึกษาการจ้างบุคคลภายนอก,item ค่าที่ปรึกษาการจ้างบุคคลภายนอก|category -,Human Resources Consulting Service,True,False
SWITCH ARUBA 6100 24G CL4 4SFP+ SWITCH (P/N:JL677A),Fiber Rental Services,,Switch,switch,item switch|brand aruba|model jl677a|numberofport 24|numberofsfpport 4,Enterprise Switches,True,True
(PT)[FMST361] Imp. Floor Sea Food 2025-SLH INTERNAL FITTINGS : H#10007 Pooled Minisuper \BDL_HY,Construction Services,item -,Floor Sea Food,งานปรับปรุงพื้น,item งานปรับปรุงพื้น|brand -|model -,Floor Laying Services,True,True
งานดูแลภูมิทัศน์ เขาชีจรรย์ ปีที่1,Landscaping Services,item -,งานดูแลภูมิทัศน์,ค่างานดูแลภูมิทัศน์,item ค่างานดูแลภูมิทัศน์|category -,Landscaping Services,True,False
"(TW)   CS_""Main Building""_Lotus's New Store HP_Phetchaburi  >  Architecture Design Fee (ref.QT.date : 21-มี.ค. 68)",Construction Services,item -,Architecture Design Fee,งานออกแบบโครงสร้างอาคาร,item งานออกแบบโครงสร้างอาคาร|brand -|model -,Architecture Design,True,True
ตู้ 1CDBC,Counters,,ตู้,ตู้,item ตู้|model 1cdbc|size -,Bar Cabinets,True,True
ตู้ 36BSC 81-100 cm.,Counters,,ตู้,ตู้,item ตู้|model 36bsc|size 81-100cm,Bar Cabinets,True,True
(SS) Installment 2nd - Fidelity Guarantee Insurance (Period: 1/10/2024 - 30/09/2025),Fixed Annuity Policy,,Fidelity Guarantee Insurance,fidelityguaranteeinsurance,item fidelityguaranteeinsurance|period 1y,Fidelity Guarantee Insurance,True,True
(SS) Installment 3rd - Fidelity Guarantee Insurance (Period: 1/10/2024 - 30/09/2025),Fixed Annuity Policy,,Fidelity Guarantee Insurance,ค่าประกันภัยความซื่อสัตย์,item ค่าประกันภัยความซื่อสัตย์|period 1y,Fidelity Guarantee Insurance,True,True
(MP) Zebra - Vehicle-Mounted Computer VC8300,Car Pc,,Vehicle-Mounted Computer,vehicle-mountedcomputer,item vehicle-mountedcomputer|model (mp)zebravc8300,Vehicle-Mounted Computers,True,True
