description,category,spec_pred
POS DIEBOLD NIXDORF VynaPOS,Point of Sale Systems,item vynapos|brand dieboldnixdorf|category pointofsalesystems
ค่าบริการเหมาตัดหญ้า,Brush Cutters,item บริการตัดหญ้า|brand -|electricpower -|enginetype -|horsepower -|model -|size -
"Paper 946 Fresh Milk Beverage (VN),PAPER 946 FRESH MILK BEVERAGE (VN)",Milk,item นม|brand -|flavor -|model -|piece -|processing -|volume -
ระบบรีดนมโค DeLavaVoluntaryMilkingSystem,Milking Machines,item ระบบรีดนมโค|brand delava|model voluntarymilkingsystem
"PAPER 236 Fresh Milk Beverage/H (HK),PAPER 236 FRESH MILK BEVERAGE/H (HK)",Milk,item freshmilkbeverage|brand -|flavor -|model -|piece -|processing -|volume -
(PL)(FMST328) Rep. Additional Plugin Cabinet for FM Y2025 (103 Store) : S#15003 POOL SUPERMARKET \REP_GF,Other Refrigeration & Heat Exchange Equipment,item plugincabinet|brand -|model -|category otherrefrigeration&heatexchangeequipment
"SC_UNIVERSAL TES+ BOARD V3 911S010017-1,SC2-UNIVERSAL TES+ BOARD V3 911S010017-1",Other Boards,"item board|brand -|model sc_universaltes+boardv3911s010017-1,sc2-universaltes+boardv3911s010017-1|size -|thickness -|color -|edge -|lining -|type -"
"WPC 80 (Heat Stable),WPC 80 (HEAT STABLE)",Other Doors,item wpc80|brand -|color -|knobhole -|material wpc|model wpc80|size -
ระบบMicrobial Fermentation Sterilization,Other Chemicals,item ระบบฆ่าเชื้อหมักจุลินทรีย์|model -|piece -|volume -
Automation Peeling Shrimp System,Shrimp,item automationpeelingshrimpsystem|brand -|model -|piece -|weight -
"SB_9-32705014195 0 BELLOWS,32705014195 0 BELLOWS:",Belows,item เบลโลวส์|model sb_9-32705014195
"Homogenizer Model: 250 for Past12,13, 	HOMOGENIZER MODEL: 250 FOR PAST12,13",Homogenizer,"item homogenizer|model 250|application past12,13"
"Homogenizer(GEA ARIERE 3110H),HOMOGENIZER(GEA ARIERE 3110H)",Homogenizer,item homogenizer|model geaariere3110h
(TW) CS_CM/PM Consultant for New Store Hypermarket Maerim,Other Consulting,item ค่าที่ปรึกษา|category otherconsulting
POS DIEBOLD NIXDORF VynaPOS ;3035;0001;1,Point of Sale Systems,brand posdieboldnixdorf|item vynapos|model 3035;0001;1
10053 GN 1/1 ECO  46L - BLACK COLOR Outer : 600*400*320 mm.,Mobile Phones,item เคสโทรศัพท์|color blackcolor|model 10053gn1/1eco46l|size 600*400*320mm
ชั้นปิดหัว-ท้าย G5(I) 90X45X187cm.,Shelving Units,application -|brand -|item ชั้นปิดหัว-ท้าย|material -|model g5(i)|numberofshelf -|size 90x45x187cm
(MP) ABSS_DC HARDWARE MA of Period 1 Jan 2025 - 31 Dec 2025 (QT.No.ABSS FM-ABSS-JS25-026 Rev.00),Information Technology Maintenance Or Repair Service,item บำรุงรักษาอุปกรณ์ฮาร์ดแวร์|duration 1y
