description,category,spec_pred,item_pred,item_extracted,spec_pred_fixed,category_fixed,spec_changed,category_changed
POS DIEBOLD NIXDORF VynaPOS,Atms,,VynaPOS,,,Point of Sale Systems,False,True
ค่าบริการเหมาตัดหญ้า,Snow Removal Services,,บริการตัดหญ้า,,,Brush Cutters,False,True
"Paper 946 Fresh Milk Beverage (VN),PAPER 946 FRESH MILK BEVERAGE (VN)",Other Beverages,,Fresh Milk Beverage,,,Milk,False,True
ระบบรีดนมโค DeLavaVoluntaryMilkingSystem,Milking Machines,,ระบบรีดนมโค,,,Milking Machines,False,False
"PAPER 236 Fresh Milk Beverage/H (HK),PAPER 236 FRESH MILK BEVERAGE/H (HK)",Other Beverages,,Fresh Milk Beverage,,,Milk,False,True
(PL)(FMST328) Rep. Additional Plugin Cabinet for FM Y2025 (103 Store) : S#15003 POOL SUPERMARKET \REP_GF,Vehicle Maintenance And Repair Services,item -,Additional Plugin Cabinet,additionalplugincabinet,item additionalplugincabinet|brand -|model -|category otherrefrigeration&heatexchangeequipment,Other Refrigeration & Heat Exchange Equipment,True,True
"SC_UNIVERSAL TES+ BOARD V3 911S010017-1,SC2-UNIVERSAL TES+ BOARD V3 911S010017-1",Sensor Development Tools,,Board,,,Other Boards,False,True
"WPC 80 (Heat Stable),WPC 80 (HEAT STABLE)",Tpu,,WPC 80,,,Other Doors,False,True
ระบบMicrobial Fermentation Sterilization,Lab Testing Consulting,,ระบบฆ่าเชื้อแบบหมักจุลินทรีย์,,,Healthcare Supplements,False,True
Automation Peeling Shrimp System,Fish Processing Machines,,Automation Peeling Shrimp System,,,Shrimp,False,True
"SB_9-32705014195 0 BELLOWS,32705014195 0 BELLOWS:",Guard Shield,,เบลโลวส์,,,Belows,False,True
"Homogenizer Model: 250 for Past12,13, 	HOMOGENIZER MODEL: 250 FOR PAST12,13",Homogenizer,,Homogenizer,,,Homogenizer,False,False
"Homogenizer(GEA ARIERE 3110H),HOMOGENIZER(GEA ARIERE 3110H)",Homogenizer,,Homogenizer,,,Homogenizer,False,False
(TW) CS_CM/PM Consultant for New Store Hypermarket Maerim,Other Consulting,item -,Consultant,ค่าที่ปรึกษา,item ค่าที่ปรึกษา|category otherconsulting,Other Consulting,True,False
POS DIEBOLD NIXDORF VynaPOS ;3035;0001;1,Atms,,VynaPOS,,,Point of Sale Systems,False,True
10053 GN 1/1 ECO  46L - BLACK COLOR Outer : 600*400*320 mm.,Other Tableware,,กล่องเก็บของ,,,Storage Boxes & Bins,False,True
ชั้นปิดหัว-ท้าย G5(I) 90X45X187cm.,Shelving Units,application -|brand -|item -|material -|model -|numberofshelf -|size -,ชั้นปิดหัว-ท้าย,ชั้นปิดหัว-ท้าย,application -|brand -|item ชั้นปิดหัว-ท้าย|material -|model g5(i)|numberofshelf -|size 90x45x187cm,Shelving Units,True,False
(MP) ABSS_DC HARDWARE MA of Period 1 Jan 2025 - 31 Dec 2025 (QT.No.ABSS FM-ABSS-JS25-026 Rev.00),Information Technology Maintenance Or Repair Service,item ,Hardware Maintenance,บำรุงรักษาอุปกรณ์ฮาร์ดแวร์,item บำรุงรักษาอุปกรณ์ฮาร์ดแวร์|brand -|model -,Information Technology Maintenance Or Repair Service,True,False
