description,category,spec_pred,item_pred,item_extracted,spec_pred_fixed,category_fixed,spec_changed,category_changed
"(TP)(FMST908) 104916238_Imp-Walk In Chiller Room : S#15233 Phaisali,Nakorn Sawan",Cold Room Storage Construction And Maintenance Service,item บํารุงรักษาห้องเย็น,Walk In Chiller Room,บํารุงรักษาห้องเย็น,item บํารุงรักษาห้องเย็น,Cold Room Storage Construction And Maintenance Service,False,False
"G_M/C SEAL 40MM TYPE CC2 SUS+FH42Z2,SEAL PART SIZE40MM.TYPE CC2 SUS+FH42Z2",Seals,application -|brand -|item ซีล|material -|model -|piece -|size 40mm,Seal,g_m/cseal40mmtypecc2,application -|brand -|item g_m/cseal40mmtypecc2|material sus+fh42z2|model -|piece -|size 40mm,Seals,True,False
"PPขุ่น+OPP+PE THAI VILLAGEข้าวหอม4.54กก.:|-12""x19""-30g จีบจีบ+หูหิ้วเจาะ*แบบ 08.11.21 สํ๋งครึ่งม้วน**ขอด่วน *",Plastic Bags,"biodegradable -|brand thaivillage|color ขุ่น|format -|gusset -|item ถุง|material pp+opp+pe|model ข้าวหอม|numberofpack -|piece -|size 12""x19""|thickness -|weight 30g",ถุงพลาสติก,ถุง,"biodegradable -|brand thaivillage|color ขุ่น|format -|gusset -|item ถุง|material pp+opp+pe|model ข้าวหอม|numberofpack -|piece -|size 12""x19""|thickness -|weight 30g",Plastic Bags,False,False
DJI: Osmo Pocket 3 Creator Combo,Digital Cameras,brand dji|color -|item กล้องถ่ายรูป|lenssize -|lenstype -|model osmopocket3creator|pixel -|resolution -,Osmo Pocket 3,กล้องถ่ายรูป,brand dji|color -|item กล้องถ่ายรูป|lenssize -|lenstype -|model osmopocket3creator|pixel -|resolution -,Digital Cameras,False,False
(TS) Hotel International 12 Jun to 10 Jul 2025,Hotel Services,item ค่าเช่าโรงแรม,ห้องพักโรงแรม,ค่าเช่าโรงแรม,item ค่าเช่าโรงแรม,Hotel Services,False,False
(MP) ASCEND Commerce_Testrail License of Aug 2025 (.QT-COM/2025/LTO2O/August),Software,brand -|edition -|item software|licensetype -|model -|period 1m|version -,License,license,brand ascendcommerce|edition -|item license|licensetype -|model .qt-com/2025/lto2o/august|period 1m|version -,Software,True,False
ค่าบริการสำนักงาน เดือน มิ.ย. 68|ค่าบริการสำนักงาน เดือน มิ.ย. 68 (11070),Security Guard Services,brand -|careerlevel -|gender -|item ค่าบริการสํานักงาน|period 1m|shift -|workingday -|workinghour -,ค่าบริการสำนักงาน,ค่าบริการสํานักงาน,brand -|careerlevel -|gender -|item ค่าบริการสํานักงาน|period 1m|shift -|workingday -|workinghour -,Security Guard Services,False,False
"DJKQ5F/KR BKKOU 5X2FKR  AG 35300871 25SEP
  1.1JIAMAHASUB/PATCHAMON MS
1. TG  614 W  27OCT BKKPEK HK1  1010   1550  O*       E MO
2. TG  615 W  30OCT PEKBKK HK1  1705   2120  O*       E TH

",Commercial Airplane Travel,brand -|class -|destination -|item ตั๋วเครื่องบิน|itinerary -|routetype -,ตั๋วเครื่องบิน,ตั๋วเครื่องบิน,brand -|class -|destination -|item ตั๋วเครื่องบิน|itinerary tg614w27octbkkpekhk110101550o*emo|routetype international,Commercial Airplane Travel,True,False
PRTR : MKP Outsourcing service Fee - August 2025 (BA Admin)) [Ref.Quo.MAK25/08-01],Software Outsourcing,brand -|careerlevel -|item บุคลากรซอฟต์แวร์|location -|period -|position -, Outsourcing service,บุคลากรซอฟต์แวร์,brand -|careerlevel -|item บุคลากรซอฟต์แวร์|location -|period 0y0m|position -,Software Outsourcing,True,False
PRTR : MKP Outsourcing service Fee - April 2025 (BA Admin)) [Ref.Quo.MAK25/04-02],Software Outsourcing,brand -|careerlevel -|item บุคลากรซอฟต์แวร์|location -|period -|position -, Outsourcing service Fee,บุคลากรซอฟต์แวร์,brand -|careerlevel -|item บุคลากรซอฟต์แวร์|location -|period 1m|position -,Software Outsourcing,True,False
